bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,5,0,0,,207,844,fos,sira1267,{},22.9777,language,120.315,,Sirayaic,"('Lamai [lama1281]':1,'Makatao [maka1313]':1,'Pangsoia-Dolatok [pang1293]':1,'Siraya [nucl1578]':1,'Taivoan [taiv1237]':1)'Sirayaic [sira1267][fos]-l-':1",2679,extinct
False,3,0,0,,207,845,ssf,thao1240,{},23.8333,language,120.93,,Thao,"('Brawbaw [braw1237]':1,'Sao {Formosan} [saof1235]':1,'Shtafari [shta1237]':1)'Thao [thao1240][ssf]-l-':1",2681,critically endangered
False,2,0,0,,207,846,xsy,sais1237,{},24.6043,language,121.067,,Saisiyat,"('Taai [taai1237]':1,'Tungho [tung1292]':1)'Saisiyat [sais1237][xsy]-l-':1",2682,severely endangered
False,0,0,0,,207,846,uun,kulo1237,{},23.7562,language,120.976,,Kulon-Pazeh,'Kulon-Pazeh [kulo1237][uun]-l-':1,2683,critically endangered
False,0,0,0,,207,2650,sxr,saar1237,{},23.2632,language,120.711,,Saaroa,'Saaroa [saar1237][sxr]-l-':1,4304,critically endangered
False,0,0,0,,207,2650,xnb,kana1286,{},23.3235,language,120.887,,Kanakanavu,'Kanakanavu [kana1286][xnb]-l-':1,4305,critically endangered
False,6,0,0,,207,2653,bdb,basa1286,{},1.41405,language,117.942,,Basap,"('Berau [bera1265]':1,'Binatang [bina1272]':1,'Bulungan [bulu1254]':1,'Dumaring [duma1254]':1,'Jembayan [jemb1237]':1,'Karangan [kara1491]':1)'Basap [basa1286][bdb]-l-':1",4315,vulnerable
False,0,0,0,,207,2654,agn,agut1237,{},10.5328,language,119.655,,Agutaynen,'Agutaynen [agut1237][agn]-l-':1,4316,safe
False,1,0,0,,207,2654,tbk,cala1258,{},12.0716,language,120.094,,Calamian Tagbanwa,('Baras {Philipinnes} [bara1368]':1)'Calamian Tagbanwa [cala1258][tbk]-l-':1,4317,safe
False,0,0,0,,207,2655,agv,remo1247,{},14.6254,language,121.453,,Hatang Kayi,'Hatang Kayi [remo1247][agv]-l-':1,4318,severely endangered
False,0,0,0,,207,2655,pam,pamp1243,{},14.9603,language,120.502,,Pampanga,'Pampanga [pamp1243][pam]-l-':1,4320,safe
False,0,0,0,,207,2657,kaw,kawi1241,{},-7.0,language,111.0,,Kawi,'Kawi [kawi1241][kaw]-l-':1,4322,extinct
False,0,0,0,,207,2660,ljp,lamp1243,{},-5.73463,language,105.037,,Lampung Api,'Lampung Api [lamp1243][ljp]-l-':1,4329,safe
False,3,0,0,,207,2660,abl,lamp1242,{},-4.43957,language,105.397,,Lampung Nyo,"('Jabung [jabu1248]':1,'Kota Bumi [kota1277]':1,'Menggala [meng1269]':1)'Lampung Nyo [lamp1242][abl]-l-':1",4330,safe
