ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
255,Cayuga (Oklahoma),United States of America,USA,cay,Extinct
881,Cayuse,United States of America,USA,xcy,Extinct
582,Cayuvava,Bolivia (Plurinational State of),BOL,cyb,Critically endangered
690,Central Alaskan Yupik (2),United States of America,USA,esu,Vulnerable
691,Central Alaskan Yupik (Nunivak Island),United States of America,USA,esu,Vulnerable
2486,Central Asian Arabic,"Uzbekistan, Tajikistan, Afghanistan","UZB, TJK, AFG","abh, auz",Definitely endangered
2214,Central Cagayan Agta,Philippines,PHL,agt,Vulnerable
1016,Central Cuicatec,Mexico,MEX,"cux, cut",Vulnerable
808,Central Kalapuyan,United States of America,USA,kyl,Extinct
1503,Central NÃ¡huatl,Mexico,MEX,"nhn, nch, ncx",Vulnerable
2363,Central Ojibwe,Canada,CAN,ojc,Definitely endangered
928,Central OtomÃ­,Mexico,MEX,,Definitely endangered
925,Central Pame,Mexico,MEX,pbs,Vulnerable
835,Central Pomo,United States of America,USA,poo,Critically endangered
1266,Central Popoloc,Mexico,MEX,,Severely endangered
719,Central Selkup,Russian Federation,RUS,sel,Critically endangered
147,Central Siberian Yupik (Chukotka),Russian Federation,RUS,ess,Severely endangered
482,Central Siberian Yupik (St. Lawrence Island),United States of America,USA,ess,Definitely endangered
816,Central Sierra Miwok,United States of America,USA,csm,Critically endangered
992,Central Tlapanec,Mexico,MEX,,Vulnerable
909,Central Zoque,Mexico,MEX,,Definitely endangered
1784,Ch'orti' (Guatemala),Guatemala,GTM,caa,Definitely endangered
1864,Ch'orti' (Honduras),Honduras,HND,caa,Critically endangered
581,Cha'palaa,Ecuador,ECU,cbi,Definitely endangered
1952,ChÃ¡cobo,Bolivia (Plurinational State of),BOL,cao,Definitely endangered
519,Chairel,India,IND,,Extinct
1249,Chali,Bhutan,BTN,tgf,Definitely endangered
2024,Chamacoco,"Brazil, Paraguay","BRA, PRY",ceg,Critically endangered
1046,Chamalal,Russian Federation,RUS,cji,Definitely endangered
1553,Chambeali,India,IND,cdh,Definitely endangered
583,Chamicuro,Peru,PER,ccc,Critically endangered
1025,Chamling,Nepal,NPL,rab,Definitely endangered
2350,Chamorro,Guam (U.S.A.),GUM,cha,Vulnerable
1520,Champenois,"Belgium, France","BEL, FRA",fra,Severely endangered
2060,ChanÃ¡,Argentina,ARG,,Critically endangered
1131,Chang,India,IND,nbc,Vulnerable
432,Chantyal,Nepal,NPL,chx,Definitely endangered
1677,Chara,Ethiopia,ETH,cra,Vulnerable
957,Chatino of the western lowlands,Mexico,MEX,ctp,Definitely endangered
956,Chatino of Zacatepec,Mexico,MEX,ctz,Definitely endangered
2251,Chatong,Lao People's Democratic Republic,LAO,,Definitely endangered
520,Chawte,Myanmar,MMR,,Definitely endangered
743,Chayahuita,Peru,PER,cbt,Definitely endangered
2290,Che Wong,Malaysia,MYS,cwg,Definitely endangered
1067,Chechen,Russian Federation,RUS,che,Vulnerable
